Plant Info,Plant Genotype,m0_optimal_linear,k_optimal_linear,AIC_Linear,W0_optimal_ricker,kg_optimal_ricker,m_optimal_ricker,AIC_Ricker,P0_optimal_log,r_optimal_log,K_optimal_log,AIC_Logistic,m0_optimal_exp,k_optimal_exp,AIC_Exponential,m0_optimal_gvb,k_optimal_gvb,f_optimal_gvb,A_optimal_gvb,AIC_Gen_VB,Linear_AIC_Weight,Ricker_AIC_Weight,Logistic_AIC_Weight,Exponential_AIC_Weight,Gen_VB_AIC_Weight
319_CHWH-27-4_5,CHWH-27-4,0.012342101870001171,0.011175171117308187,-43.49813789720106,0.09294259025233309,0.05193485400481622,1.5,-28.81776489428475,0.03847962440233059,0.1143131712434502,0.5138783421780054,-43.40535881189022,0.07702686797374347,0.04989000282035746,-43.50079195580315,0.03796091174613505,0.04195896738782848,0.01,0.9967913772249205,-32.231984531075106,0.33781222846135045,0.00021921631488904731,0.3224992018545309,0.33826081276319625,0.001208540606033388
320_BESC-1159_2,BESC-1159,0.09198675342378998,5.936245537161604e-05,-76.35775550912003,0.09197487459615694,0.0006049560875636572,1.0743371741451813,-70.35769520539644,0.09201021300250574,0.0008099201326778434,0.4101611419638565,-70.35707039634138,0.09200330222852476,0.0006306060960628086,-76.3568227313943,0.09182483159642732,0.011726692387129357,0.014169651091788837,0.801331828454282,-61.37184137583111,0.47627069447181103,0.023711406673442615,0.02370400027959952,0.4760486189150108,0.0002652796601358944
321_BESC-1098_3,BESC-1098,0.16179303038495127,0.0053373907791622495,-47.98010778025556,0.0924671246292062,0.14998924299885638,1.2040686884526226,-52.547302639590725,0.10014508887991751,0.19750955733061323,0.3029981902321283,-51.13039255909386,0.17999749360998504,0.018959753511233284,-45.74725959353546,0.0901604774240385,0.141445300258016,0.21859463442432112,0.8,-43.86207048276006,0.06211808281055264,0.6094973278812141,0.3001191386177063,0.020340481070029708,0.007924969620497173
322_BESC-1041_6,BESC-1041,0.18290251552988243,0.008535589853477393,-50.192591083811735,0.13820108227359157,0.08180539128181905,1.2406654938873023,-58.561298470745115,0.14827105331226675,0.11206656668480222,0.4613863058367845,-56.09377234518979,0.21543522553658778,0.023274310693117264,-44.61738048827368,0.1364037256575003,0.07696113141993853,0.17977042112342495,0.8429547533827961,-49.95777821560117,0.011531486279371025,0.7570542572032638,0.22045020948666175,0.000709976032622556,0.010254070998080888
323_GW-9837_8,GW-9837,0.07879400695992152,0.011970561687641152,-46.91188788240582,0.12155065539848783,0.05492135559730178,1.5,-33.96995495933003,0.11408049981691427,0.06632469955839691,0.8083750055263274,-38.869928705232724,0.13556239611967033,0.03883817095920653,-43.87518866766297,0.10079549895441352,0.028474220730522918,0.2285064045605853,0.8933886191601427,-30.823857294255063,0.8071824521268286,0.0012492998421144664,0.0144771296834604,0.176831998751912,0.0002591195956845011
324_BESC-1166_4,BESC-1166,0.05950997608541904,0.005199502355170106,-62.559668093042674,0.05898585755774783,0.061801384515270154,1.5,-58.6591871578032,0.052906924076224285,0.10666774775062944,0.2475220806450424,-64.51292832749267,0.0835110042481419,0.031044483212679927,-54.76151905411848,0.04878143274965367,0.055854466096622125,0.28039594600406365,0.8140625688863443,-52.94836429888272,0.2613575313017638,0.037175459548915685,0.694032950778537,0.005295274410674776,0.0021387839601086965
325_GW-9823_7,GW-9823,0.13325411810099314,0.004827399163467924,-49.1839884500069,0.0763440915527543,0.12965181771410497,1.2810032942949632,-64.63845311552417,0.08332631957563018,0.169701862778847,0.27068026750858587,-66.92929648821074,0.1524210037463649,0.019385992949871575,-46.33766401682491,0.07454987645847132,0.12218418044568025,0.22465318491747013,0.8055715165142977,-55.074688303450955,0.00010611474309808268,0.24080754463504064,0.7570427545919648,2.5568439889292777e-05,0.002018017590007331
326_BESC-45_8,BESC-45,0.0776885202281655,0.0054954365238334595,-55.729398114255034,0.05999166223242973,0.08129277351232644,1.5,-55.17698185384775,0.06105511212954856,0.12779651206469586,0.25233048964676974,-54.28150483046049,0.10207570802600194,0.028267595020543813,-50.55901762667696,0.05293940140113338,0.0787895101497126,0.26425246360614496,0.8120250203021901,-46.63456225810246,0.4292828823099777,0.3256776116492626,0.20813136837107027,0.03236008947437286,0.0045480481953167114
327_BESC-1170_4,BESC-1170,0.0,0.007916035441776399,-50.765279684944126,0.06110306239714835,0.05271860249153784,1.5,-31.607406206210392,0.01905910319392867,0.11915261642111437,0.4035767552905001,-64.52180783503364,0.039265861971411874,0.060219916279609105,-54.73795000002866,0.014395140290128302,0.03138989281298773,0.47001278612042413,0.848787836321903,-49.906603565361024,0.0010205339601079093,7.059079822316196e-08,0.9908766493249404,0.007438439916145049,0.000664306208008296
328_BESC-856_3,BESC-856,0.10273272158901203,0.01575569413203917,-55.284277704971885,0.15559679253444708,0.05806510107580742,1.5,-34.29978401948283,0.11882957532632088,0.09899813189572983,0.7352982103167501,-49.788644612442894,0.18311353540569966,0.03762700031354459,-41.13095057792393,0.10330762593072246,0.04852415062222468,0.24070930649147296,0.8734493342150055,-42.50424671809341,0.9375426307372036,2.6017533232298647e-05,0.06006610365401328,0.0007918357192070584,0.0015734123563439172
329_BESC-354_5,BESC-354,0.0147882734801012,0.005883095515425135,-61.679720344059675,0.052023325806003974,0.05209091573708811,1.5,-42.0381563233208,0.03921623443241726,0.06606577704977543,0.5287871498483125,-59.82207907228704,0.04560832780948059,0.04768062379761737,-64.207498171451,0.036334025024461904,0.012561428792234885,0.4295952707555854,0.8731442876050369,-51.618469780952054,0.20239774200329116,1.0992443144526709e-05,0.07995101585711628,0.7163176364658472,0.0013226132306008737
330_BESC-1108_8,BESC-1108,0.022091159287648016,0.013114015404366568,-53.95153581548065,0.10873752481565123,0.05529220553584393,1.5,-29.661066150537017,0.0641997875155822,0.09524535801270277,0.6494145557285294,-48.715714811702384,0.09789232919500382,0.047695430751101574,-46.92793784663391,0.13839879367401023,0.032003265988731,0.25724152799397954,0.811409501409642,-18.931022933747805,0.9067797250020215,4.818294397750659e-06,0.06615424478927286,0.027061189377414464,2.2536893481435194e-08
331_BESC-1132_4,BESC-1132,0.10595873398201175,0.0024508119589669187,-54.30840494715835,0.054660622557302564,0.18752115108420142,1.1425928537444185,-64.43684644985498,0.05875625253146777,0.23498916166473222,0.17024637488593086,-65.52387572438208,0.11387910620124556,0.014714940788173295,-52.96683423010108,0.05347206639515862,0.17862492479715422,0.20801095916405846,0.8000122428113178,-55.220791381455584,0.002304822944173333,0.3647545315493933,0.6281250358376976,0.0011784717844172791,0.003637137884318278
