Plant Info,Plant Genotype,m0_optimal_linear,k_optimal_linear,Cost_Linear,AIC_Linear,R2_Linear,R2_adj_Linear,W0_optimal_ricker,kg_optimal_ricker,m_optimal_ricker,Cost_Ricker,AIC_Ricker,R2_Ricker,R2_adj_Ricker,P0_optimal_log,r_optimal_log,K_optimal_log,Cost_Logistic,AIC_Logistic,R2_Logistic,R2_adj_Logistic,m0_optimal_exp,k_optimal_exp,Cost_Exponential,AIC_Exponential,R2_Exponential,R2_adj_Exponential,m0_optimal_gvb,k_optimal_gvb,f_optimal_gvb,A_optimal_gvb,Cost_Gen_VB,AIC_Gen_VB,R2_Gen_VB,R2_adj_Gen_VB,Linear_AIC_Weight,Ricker_AIC_Weight,Logistic_AIC_Weight,Exponential_AIC_Weight,Gen_VB_AIC_Weight
116_BESC-1043_8,BESC-1043,0.0,0.028329666263120716,0.013577589790906798,-19.29534258404523,0.8702658591494371,0.8053987887241556,0.17784590773768397,0.06741238463456943,1.5,0.039140494634606525,-4.684183756647549,0.6260117942812283,0.25202358856245666,0.07486358671524257,0.11518821257902624,1.5,0.013212497395029216,-12.286144874617573,0.8737543242628826,0.7475086485257652,0.11086398785615924,0.07134124014604278,0.014168858441800257,-18.99696153103557,0.8646162754150023,0.7969244131225035,0.048236585377772166,0.029313597984584442,0.5799957979645286,0.8,0.012040772374585937,-0.936196833121393,0.8849501801681864,0.6548505405045592,0.5284745489287674,0.00035501871707872287,0.015885326035542355,0.45523060760758555,5.449871102586132e-05
117_BESC-1043_7,BESC-1043,0.24101381547450396,0.027852212748003716,0.036950257498443655,-12.287278639442277,0.6669557174706867,0.5004335762060301,0.19289730236863606,0.22057593125736394,1.4607106249934183,0.022219693470326873,-8.647434030564341,0.799726920166714,0.599453840333428,0.00677244260952509,0.9838354472456621,0.8209103296088656,0.008346344179789978,-15.501521611399752,0.9247717770514063,0.8495435541028127,0.36908329823926966,0.0347334748613322,0.0498560164633259,-10.190312689614547,0.5506320562584069,0.32594808438761036,0.0002062154628771453,0.4741700937933442,0.28280005645894785,0.9599671029777281,0.00911513327937056,-2.88473474283132,0.9178424393033012,0.7535273179099037,0.15360930379971535,0.024890596612322367,0.7662694547369722,0.05383530160122363,0.0013953432497663947
118_BESC-1181_3,BESC-1181,0.14829644927081775,0.03361873710233497,0.024233046536319188,-15.240266125969857,0.8164750385574436,0.7247125578361655,0.22171037080886258,0.11508536094705929,1.5,0.018785434002367003,-9.822714475899186,0.8577316291701491,0.7154632583402982,0.0568286992414922,0.29341768143656893,0.9925777946221631,0.0022976671429029163,-24.531026695340685,0.9825989987194925,0.965197997438985,0.33497815350309534,0.03966548768510589,0.0477320821412918,-10.495060679137143,0.6385089872449816,0.4577634808674724,0.02547840640800769,0.17972268038419464,0.07612423743205038,0.9785541320592199,0.0031000550713896984,-10.43434781879089,0.9765222467346851,0.9295667402040554,0.009491875873419722,0.0006323327226260365,0.9881322511266734,0.0008850010372895151,0.0008585392399915084
119_BESC-1108_1,BESC-1108,0.03434268420052761,0.03287080234922146,0.0033872103859027797,-29.01424013957367,0.9681811002962456,0.9522716504443685,0.20537690544980539,0.08286784868114674,1.5,0.018670302503513442,-9.865747832354145,0.8246142355755344,0.6492284711510687,0.07776395849506586,0.18756602748111156,0.9778671650795985,0.004284320075273469,-20.169553905500308,0.9597537987775229,0.9195075975550457,0.2117646005521277,0.05250587900442052,0.017133884961205426,-17.666880396696758,0.8390470903770108,0.7585706355655162,0.02801145658538325,0.09998883278822045,0.5184839873220917,0.8,0.0020050765829516615,-13.484511160770303,0.981164638914426,0.9434939167432779,0.9843147947575781,6.840561313473299e-05,0.01181775004369727,0.003381319060069685,0.0004177305255201531
120_BESC-284_6,BESC-284,0.0,0.030774775085712285,0.010220209763717866,-21.28371718714111,0.9193922251201198,0.8790883376801797,0.18652976088999662,0.07172316748075883,1.5,0.043536779229029134,-3.9390443902207117,0.6566212455298969,0.31324249105979374,0.02128780869801237,0.23338063563162892,0.9960832039809766,0.005110370133354388,-18.93538410973543,0.9596940204960683,0.9193880409921367,0.12561707818761625,0.06911917713503807,0.01894854933338334,-16.962195318984257,0.8505509735829494,0.775826460374424,0.00020468316139185777,0.1409294673523836,0.3056240230436569,0.9573662418875563,0.003254585989465636,-10.093831425113699,0.9743307680731375,0.9229923042194124,0.7001811916539611,0.0001199119864334386,0.21640953503070207,0.08068705977693161,0.002602301551971949
121_BESC-1068_3,BESC-1068,0.05127193943073609,0.034221370745838274,0.004832244793369367,-26.52710911127394,0.9585361487572864,0.9378042231359296,0.21681644886493553,0.08534050061646827,1.5,0.018466054749218055,-9.942747775389723,0.8415490564112127,0.6830981128224254,0.06422463535163637,0.21591861390167977,1.0035191034688704,0.0008696803314461804,-31.331693942690606,0.9925375684730875,0.985075136946175,0.23914653727426827,0.04983280883336239,0.022057843936223658,-15.898609043949808,0.8107291333912648,0.7160937000868972,0.026440001489137874,0.12009632170592785,0.2912735626414819,0.9073195784090712,0.00041323051307448795,-24.540534843687418,0.9964542093259469,0.9893626279778406,0.0804893509172214,2.015998098445434e-05,0.8892845869940655,0.0003960855147387211,0.029809816592989744
122_BESC-317_8,BESC-317,0.0,0.029851810860031643,0.007258737629797607,-23.678845418202588,0.9367970650160131,0.9051955975240197,0.18535815525248814,0.06804637405896767,1.5,0.03855725422372038,-4.789277137663845,0.6642761102345008,0.3285522204690017,0.02661310208569645,0.20435100891842972,1.0529633645148868,0.0016792724762245748,-26.725762404585268,0.9853783185798686,0.9707566371597371,0.11708802002688284,0.07101507510251347,0.010978719451844981,-20.78257532651946,0.9044066162587368,0.8566099243881051,0.0018079728943755729,0.10727705957543941,0.3249172973325595,0.9395451270047445,0.0008855069114476176,-19.205452069453372,0.9922897563451877,0.976869269035563,0.16863509937730728,1.3339217011487848e-05,0.7737088952003586,0.039630624265283694,0.01801204194003901
123_BESC-1103_8,BESC-1103,0.0,0.034714621753498896,0.005395741960790145,-25.755016135690415,0.9578998854037067,0.9368498281055602,0.2073765901764862,0.07896158811615525,1.5,0.030697703652348966,-6.38497198749058,0.7604820892106401,0.5209641784212802,0.028925364387895107,0.250958425162767,0.9960042364770416,0.00043716841738116087,-36.14634429854409,0.9965890065530614,0.9931780131061227,0.18882385375883806,0.05723824636146005,0.023196238205034695,-15.546356118542054,0.8190120480683868,0.7285180721025801,0.0017339809515824892,0.14501319365750173,0.3014410543919844,0.9441200934694843,0.00024486206088911345,-28.20370865926496,0.9980894711239663,0.9942684133718989,0.005408444784719145,3.3645017336728224e-07,0.9761591752203873,3.2831448489853956e-05,0.018399212096230314
124_BESC-1095_6,BESC-1095,0.0,0.03432058554364405,0.005545416308731531,-25.563485079444188,0.9575784135267154,0.936367620290073,0.205414884746595,0.0776729172482376,1.5,0.03347647635696822,-5.778385995750913,0.7439100768030817,0.4878201536061635,0.027658108924899366,0.24501362991563852,1.0143649072981578,0.0005315485167456514,-34.778012571661755,0.9959337351584646,0.9918674703169292,0.178477416294391,0.05907846924812942,0.023002859655876933,-15.604957165422238,0.8240316424056133,0.73604746360842,0.0018208861915539386,0.1393433172887643,0.28459628142393145,0.9476054846696059,0.0003233970062091832,-26.25640907671584,0.9975260623729001,0.9925781871187003,0.009743686410133135,4.925423977452076e-07,0.9764106771598599,6.702802728135577e-05,0.013778115860328073
125_BESC-1181_5,BESC-1181,0.18849913510870397,0.02955961126425837,0.04768992453751198,-10.501245903194572,0.6360576012060328,0.45408640180904924,0.19910330070801,0.14628601408057756,1.5,0.03034983478306499,-6.464749436487743,0.7683873107146353,0.5367746214292706,0.006576701851795999,0.5606533331205497,0.8856835204184317,0.009993949330309325,-14.24042805258835,0.9237318589204903,0.8474637178409805,0.3524209073866067,0.03507053095232698,0.06805484846145476,-8.012089127353093,0.480644076525227,0.22096611478784056,0.021128515012650326,0.21036931646658227,0.2929834212937961,0.9075570472570189,0.015592741144047456,0.8733515099242055,0.8810050619544536,0.6430151858633608,0.12642252472231943,0.01680004280630565,0.8199314526629747,0.03641756742677452,0.0004284123816256145
189_GW-9842_4,GW-9842,0.28395571620788573,0.010461247952483573,0.07740238260966177,-7.1111640105277525,0.12440530622762058,-0.31339204065856907,0.12431499256443497,0.27356248625363344,1.5,0.04626693199087349,-3.5132944944464946,0.47661714300666014,-0.046765713986679724,0.007366252167657438,0.789000876616762,0.5780646243034316,0.03564634407081142,-5.338760815922164,0.5967598325986028,0.19351966519720554,0.3421864569229778,0.01576251551743858,0.08108391904536631,-6.785894361203959,0.08275886513175945,-0.3758617023023607,5.06657700199822e-06,0.516988523323058,0.33782690107638375,0.9646108379205098,0.03619846317535773,6.768829696603028,0.5905141261749514,-0.22845762147514592,0.411766069220932,0.06813701721412499,0.16973761399797813,0.34996059774650845,0.0003987018204565193
190_BESC-1041_8,BESC-1041,0.14778955455781573,0.034577913175328004,0.04023553921142282,-11.691032297456694,0.7491306765438337,0.6236960148157505,0.22044276449726607,0.14394942946654568,1.4699949603581182,0.03182025615699466,-6.133565441415545,0.8016001204218763,0.6032002408437527,0.01079429796674896,0.4902076551393284,0.9862031181442971,0.00048321602022679833,-35.44532730215271,0.9969871392690802,0.9939742785381604,0.3522306560208974,0.037983644647030426,0.06946264762437258,-7.868762805979668,0.5668991206149118,0.3503486809223677,8.598311743415266e-05,0.2737827576234304,0.303198134015399,0.9614689931739353,0.0019899277737550018,-13.53759854849914,0.9875927639069187,0.9627782917207562,6.947189290427412e-06,4.315394838716555e-07,0.9999741038529346,1.0275757768164029e-06,1.7489842514183302e-05
191_BESC-284_3,BESC-284,0.08479244549568636,0.03163766341234271,0.029782902394716173,-13.796745566884812,0.7715464338415848,0.6573196507623773,0.202145321162611,0.10084155760214673,1.5,0.0364574037738022,-5.181275038512542,0.7203488164242848,0.44069763284856966,0.00015934978796282277,1.0,0.7798527213144912,0.020010443212216993,-9.380506867669975,0.8465073332459212,0.6930146664918424,0.2583467719754178,0.045007918259412125,0.04691291120108504,-10.616236444972746,0.6401485080022848,0.46022276200342727,4.4064534701823356e-05,0.22712151547820128,0.855504310949646,0.8038796527287163,0.020672089192049607,2.847204142677402,0.8414320930418652,0.5242962791255955,0.7533024889430044,0.010142470369687288,0.08279333055311962,0.15357857079433382,0.00018313933985483267
192_KLNA-20-3_7,KLNA-20-3,0.5759378692306153,0.0,0.12131444487695038,-0.6562163173382594,0.0,-0.6666666666666667,0.5759378674702983,0.0,1.4344305100698413,0.12131444487695038,8.677117015995075,0.0,-1.5,0.5759378683762241,0.0,0.8154798293737547,0.12131444487695038,8.677117015995075,0.0,-1.5,0.5759378653893497,0.0,0.12131444487695041,-0.6562163173382594,-2.220446049250313e-16,-0.6666666666666672,0.5719727240170912,0.01,0.01,0.8,0.12257926154313896,27.406015448633532,-0.010425936231019062,-4.052129681155096,0.49534182255129505,0.004657977812732742,0.004657977812732742,0.49534182255129505,3.9927194447710784e-07
193_GW-10986_5,GW-10986,0.20412052424761,0.028837741896038327,0.04915461574035586,-10.289491678494034,0.6296465845317543,0.4444698767976314,0.19931050714232856,0.1565328024039863,1.5,0.025843174450213446,-7.589961301609254,0.8052856729725102,0.6105713459450204,0.010786643366492727,0.566199246727858,0.8871334826116178,0.0032130104253661955,-22.183828678759646,0.9757917060880916,0.9515834121761833,0.36926379198156706,0.032812660870053946,0.07076967434553706,-7.7382728894591475,0.46678882113756537,0.2001832317063481,2.0440592596610374e-05,0.3489859772606645,0.3704422934262771,0.9567037298875715,0.0039292378786619075,-8.775168571378828,0.9703953200196636,0.9111859600589907,0.002599591412402108,0.0006740770178167879,0.9947811704104866,0.0007259638121556312,0.0012191973471386158
